OrderID,OrderDateTime,StoreID,CustomerID,ProductID,Quantity,UnitPrice,DiscountPct,PaymentID,PaymentMethod,Channel,Status,OrderTotal,Currency
19,2025-07-11T02:32:00,4,3260,137,1,69.72,0,PMT00000019,UPI,POS,Returned,69.72,INR
20,2025-04-14T17:45:00,5,5437,137,1,69.72,10,PMT00000020,CARD,POS,Completed,62.75,INR
21,2025-06-27T23:57:00,11,1084,8,1,44.36,10,PMT00000021,UPI,Online,Completed,39.92,INR
22,2025-08-07T08:19:00,3,4630,116,1,97.87,0,PMT00000022,CARD,POS,Completed,97.87,INR
23,2025-07-07T11:44:00,11,3048,235,1,179.73,0,PMT00000023,UPI,POS,Completed,179.73,INR
24,2025-06-24T22:48:00,6,3765,78,1,71.93,0,PMT00000024,UPI,POS,Completed,71.93,INR
25,2025-06-10T04:10:00,3,2834,154,1,54.88,0,PMT00000025,UPI,Online,Completed,54.88,INR
26,2025-06-21T20:02:00,4,5291,112,1,76.65,0,PMT00000026,CARD,POS,Cancelled,76.65,INR
27,2025-07-23T08:20:00,8,4251,127,3,61.74,0,PMT00000027,UPI,POS,Completed,185.22,INR
28,2025-08-02T03:00:00,11,353,214,1,62.08,20,PMT00000028,CARD,POS,Pending,49.66,INR
29,2025-07-15T19:13:00,7,415,161,1,77.31,15,PMT00000029,CASH,POS,Completed,65.71,INR
30,2025-05-01T13:05:00,7,3129,178,1,60.63,0,PMT00000030,CARD,POS,Completed,60.63,INR
31,2025-07-18T09:29:00,2,5881,246,1,128.52,0,PMT00000031,CARD,Online,Completed,128.52,INR
32,2025-06-23T18:16:00,3,1494,102,1,18.84,10,PMT00000032,UPI,POS,Completed,16.96,INR
33,2025-05-19T09:42:00,3,5001,205,1,51.2,0,PMT00000033,WALLET,POS,Completed,51.2,INR
34,2025-08-17T15:44:00,11,2647,158,4,106.89,10,PMT00000034,UPI,Online,Cancelled,384.8,INR
35,2025-05-01T17:32:00,3,3534,197,1,62.66,10,PMT00000035,UPI,POS,Completed,56.39,INR
36,2025-07-14T14:40:00,1,5761,249,1,72.05,0,PMT00000036,CARD,Online,Completed,72.05,INR
37,2025-08-13T06:23:00,12,2662,82,1,45.97,0,PMT00000037,UPI,POS,Completed,45.97,INR
38,2025-08-15T12:28:00,1,3547,114,1,57.26,15,PMT00000038,CARD,Online,Completed,48.67,INR
39,2025-05-21T11:00:00,6,1737,190,1,117.74,0,PMT00000039,UPI,POS,Completed,117.74,INR
40,2025-05-16T04:03:00,9,808,229,1,45.0,0,PMT00000040,WALLET,Online,Completed,45.0,INR
41,2025-06-17T00:33:00,5,832,217,2,102.97,10,PMT00000041,CARD,Online,Completed,185.34,INR
42,2025-05-15T00:07:00,4,2842,12,2,59.13,0,PMT00000042,UPI,POS,Completed,118.26,INR
43,2025-06-04T21:32:00,6,4378,220,1,128.96,5,PMT00000043,CARD,POS,Completed,122.51,INR
44,2025-08-01T21:34:00,5,2793,101,1,115.61,10,PMT00000044,CARD,Online,Completed,104.05,INR
45,2025-06-28T12:44:00,9,618,151,1,49.68,10,PMT00000045,CARD,POS,Cancelled,44.71,INR
46,2025-07-21T06:32:00,5,561,158,2,106.89,0,PMT00000046,CARD,POS,Completed,213.78,INR
47,2025-05-12T23:34:00,3,4219,162,1,111.68,5,PMT00000047,CASH,POS,Completed,106.1,INR
48,2025-07-31T21:35:00,9,5384,94,1,67.68,0,PMT00000048,UPI,POS,Completed,67.68,INR
49,2025-04-29T00:08:00,1,2576,156,1,48.82,0,PMT00000049,WALLET,POS,Completed,48.82,INR
50,2025-08-05T02:35:00,7,197,234,3,118.63,5,PMT00000050,WALLET,Online,Completed,338.1,INR
51,2025-04-10T02:41:00,12,1774,154,1,54.88,0,PMT00000051,WALLET,POS,Completed,54.88,INR
52,2025-04-21T20:36:00,7,1992,143,1,92.0,0,PMT00000052,CASH,POS,Completed,92.0,INR
53,2025-07-18T11:27:00,1,2872,161,2,77.31,0,PMT00000053,CARD,Online,Completed,154.62,INR
54,2025-06-27T05:30:00,3,5854,125,2,30.66,5,PMT00000054,CASH,POS,Completed,58.26,INR
55,2025-05-09T08:54:00,6,3441,73,1,29.36,0,PMT00000055,UPI,Online,Completed,29.36,INR
56,2025-07-04T17:47:00,10,4785,161,7,77.31,0,PMT00000056,CARD,Online,Completed,541.17,INR
57,2025-06-27T12:40:00,5,4623,10,1,22.57,0,PMT00000057,CARD,POS,Pending,22.57,INR
58,2025-06-17T08:47:00,5,2903,111,1,84.53,15,PMT00000058,UPI,POS,Completed,71.85,INR
59,2025-07-23T22:14:00,11,3596,54,1,83.16,5,PMT00000059,WALLET,POS,Cancelled,79.0,INR
60,2025-06-25T12:15:00,12,3907,124,2,29.07,20,PMT00000060,CARD,POS,Completed,46.52,INR
61,2025-06-07T13:41:00,5,4486,124,1,29.07,0,PMT00000061,CASH,Online,Completed,29.07,INR
62,2025-07-29T19:39:00,1,2803,76,2,73.83,0,PMT00000062,CARD,POS,Completed,147.66,INR
63,2025-06-13T02:00:00,11,3754,61,1,91.39,0,PMT00000063,WALLET,Online,Completed,91.39,INR
64,2025-08-01T04:44:00,1,226,8,1,44.36,15,PMT00000064,CARD,Online,Completed,37.71,INR
65,2025-04-20T08:40:00,8,4655,145,2,65.29,0,PMT00000065,UPI,POS,Completed,130.58,INR
66,2025-07-20T06:03:00,7,1285,38,3,52.47,15,PMT00000066,CASH,Online,Completed,133.8,INR
67,2025-04-08T02:11:00,6,3132,191,1,26.12,0,PMT00000067,CARD,Online,Completed,26.12,INR
68,2025-04-19T14:54:00,9,5154,43,1,74.89,0,PMT00000068,CARD,POS,Completed,74.89,INR
69,2025-05-10T14:18:00,10,1042,125,2,30.66,0,PMT00000069,CARD,Online,Cancelled,61.32,INR
70,2025-06-26T05:20:00,7,5010,83,1,79.03,15,PMT00000070,CARD,POS,Completed,67.18,INR
71,2025-04-28T03:45:00,5,4397,140,1,167.53,0,PMT00000071,UPI,POS,Completed,167.53,INR
72,2025-04-21T00:03:00,9,259,179,1,76.01,0,PMT00000072,CARD,Online,Completed,76.01,INR
73,2025-04-02T03:58:00,7,699,7,1,36.02,0,PMT00000073,WALLET,Online,Completed,36.02,INR
74,2025-07-22T01:45:00,3,2584,217,1,102.97,0,PMT00000074,CARD,POS,Completed,102.97,INR
75,2025-04-12T12:57:00,1,1806,68,1,70.69,0,PMT00000075,CARD,POS,Completed,70.69,INR
76,2025-06-02T05:22:00,2,5714,181,1,17.57,0,PMT00000076,CARD,POS,Pending,17.57,INR
77,2025-07-14T05:23:00,12,2252,203,2,15.88,0,PMT00000077,UPI,POS,Returned,31.76,INR
78,2025-05-18T19:38:00,6,3193,70,1,50.99,20,PMT00000078,CARD,Online,Completed,40.79,INR
79,2025-04-05T23:22:00,4,1760,220,1,128.96,0,PMT00000079,CARD,POS,Completed,128.96,INR
80,2025-07-20T18:23:00,2,5801,59,3,23.12,5,PMT00000080,CARD,POS,Completed,65.88,INR
81,2025-05-11T19:18:00,3,3495,195,1,36.23,10,PMT00000081,UPI,Online,Completed,32.61,INR
82,2025-04-07T14:11:00,2,220,137,1,69.72,10,PMT00000082,WALLET,POS,Completed,62.75,INR
83,2025-05-22T03:15:00,8,2381,244,1,15.49,0,PMT00000083,UPI,POS,Completed,15.49,INR
84,2025-07-04T01:46:00,2,3829,4,1,19.23,0,PMT00000084,CARD,POS,Completed,19.23,INR
85,2025-06-28T12:37:00,4,5357,124,1,29.07,10,PMT00000085,UPI,POS,Completed,26.16,INR
86,2025-04-14T10:48:00,8,874,147,2,20.79,0,PMT00000086,UPI,Online,Returned,41.58,INR
87,2025-06-04T22:19:00,6,4849,109,1,36.31,20,PMT00000087,UPI,POS,Completed,29.05,INR
88,2025-04-30T10:44:00,4,4650,28,1,38.13,0,PMT00000088,UPI,POS,Completed,38.13,INR
89,2025-08-05T11:19:00,10,4781,47,1,25.62,15,PMT00000089,UPI,POS,Completed,21.78,INR
90,2025-04-19T21:21:00,8,1774,247,1,51.58,0,PMT00000090,CARD,Online,Completed,51.58,INR
91,2025-08-14T20:24:00,9,2859,217,3,102.97,0,PMT00000091,UPI,POS,Cancelled,308.91,INR
92,2025-04-17T20:05:00,5,5746,21,1,84.51,20,PMT00000092,CASH,POS,Completed,67.61,INR
93,2025-06-18T08:32:00,1,2993,94,1,67.68,0,PMT00000093,CARD,POS,Completed,67.68,INR
94,2025-04-05T11:01:00,7,5714,208,3,36.62,5,PMT00000094,UPI,Online,Completed,104.37,INR
95,2025-06-21T12:43:00,1,833,241,2,55.17,15,PMT00000095,CARD,POS,Completed,93.78,INR
96,2025-06-26T13:12:00,12,812,186,2,60.26,5,PMT00000096,CARD,POS,Completed,114.5,INR
97,2025-04-05T08:13:00,10,1423,100,2,22.08,0,PMT00000097,UPI,Online,Completed,44.16,INR
98,2025-06-17T05:03:00,2,3402,19,1,64.9,0,PMT00000098,CARD,POS,Completed,64.9,INR
99,2025-05-13T01:12:00,1,385,173,5,27.18,0,PMT00000099,UPI,POS,Completed,135.9,INR
100,2025-08-02T20:42:00,11,5808,210,1,31.31,0,PMT00000100,WALLET,Online,Completed,31.31,INR
101,2025-06-24T20:52:00,11,2008,161,2,77.31,0,PMT00000101,UPI,POS,Completed,154.62,INR
102,2025-07-06T12:56:00,9,1116,225,4,39.69,0,PMT00000102,UPI,Online,Completed,158.76,INR
103,2025-07-24T05:03:00,12,1830,213,1,101.29,5,PMT00000103,UPI,Online,Completed,96.23,INR
104,2025-07-20T22:53:00,10,542,106,1,22.26,0,PMT00000104,CARD,POS,Cancelled,22.26,INR
105,2025-05-03T17:03:00,6,1147,202,1,73.12,10,PMT00000105,CARD,POS,Completed,65.81,INR
106,2025-07-16T03:55:00,5,4957,217,1,102.97,0,PMT00000106,UPI,Online,Returned,102.97,INR
107,2025-07-04T16:56:00,5,2035,206,1,22.75,0,PMT00000107,CARD,POS,Completed,22.75,INR
108,2025-05-11T12:23:00,4,380,110,1,86.17,0,PMT00000108,WALLET,Online,Cancelled,86.17,INR
109,2025-07-30T03:15:00,12,458,198,1,51.71,5,PMT00000109,UPI,POS,Completed,49.12,INR
110,2025-08-04T06:20:00,3,130,183,3,74.47,5,PMT00000110,UPI,POS,Completed,212.25,INR
111,2025-05-10T09:18:00,3,1559,83,2,79.03,15,PMT00000111,CASH,Online,Refunded,134.36,INR
112,2025-05-12T09:25:00,12,3731,249,1,72.05,0,PMT00000112,CARD,Online,Completed,72.05,INR
113,2025-04-27T14:05:00,5,5897,116,1,97.87,0,PMT00000113,CARD,POS,Completed,97.87,INR
114,2025-04-28T00:26:00,6,3220,246,1,128.52,0,PMT00000114,CARD,POS,Completed,128.52,INR
115,2025-04-03T14:58:00,9,352,93,1,134.27,0,PMT00000115,CASH,Online,Completed,134.27,INR
116,2025-07-03T01:48:00,8,1829,247,1,51.58,5,PMT00000116,CARD,POS,Completed,49.0,INR
117,2025-05-12T18:49:00,12,3497,91,1,71.58,5,PMT00000117,WALLET,POS,Completed,68.0,INR
118,2025-04-26T01:44:00,9,3850,65,1,53.76,0,PMT00000118,UPI,POS,Completed,53.76,INR
119,2025-04-29T13:59:00,10,5992,188,1,25.23,10,PMT00000119,UPI,POS,Completed,22.71,INR
120,2025-07-07T21:32:00,5,5817,33,1,53.5,5,PMT00000120,CARD,POS,Completed,50.82,INR
121,2025-04-28T22:49:00,12,5360,136,1,42.89,20,PMT00000121,CARD,POS,Completed,34.31,INR
122,2025-05-08T06:23:00,10,940,112,1,76.65,0,PMT00000122,UPI,POS,Cancelled,76.65,INR
123,2025-06-17T14:24:00,10,3159,215,2,67.28,0,PMT00000123,UPI,Online,Completed,134.56,INR
124,2025-06-10T21:54:00,2,3571,101,1,115.61,0,PMT00000124,UPI,POS,Completed,115.61,INR
125,2025-04-18T06:59:00,8,3336,77,1,71.98,0,PMT00000125,CARD,POS,Completed,71.98,INR
126,2025-04-04T07:20:00,11,4996,247,3,51.58,0,PMT00000126,CARD,Online,Completed,154.74,INR
127,2025-06-07T19:22:00,3,5720,63,1,29.24,0,PMT00000127,CARD,Online,Completed,29.24,INR
128,2025-07-25T18:33:00,5,1926,90,1,59.66,0,PMT00000128,CARD,POS,Completed,59.66,INR
129,2025-05-07T03:09:00,10,2983,12,1,59.13,5,PMT00000129,WALLET,POS,Completed,56.17,INR
130,2025-08-07T04:21:00,9,4524,138,1,55.64,0,PMT00000130,UPI,POS,Pending,55.64,INR
131,2025-07-07T03:32:00,9,58,181,1,17.57,0,PMT00000131,CARD,POS,Completed,17.57,INR
132,2025-05-11T02:00:00,6,5756,85,1,55.46,0,PMT00000132,UPI,Online,Completed,55.46,INR
133,2025-05-29T11:14:00,8,4063,154,1,54.88,5,PMT00000133,CARD,POS,Completed,52.14,INR
134,2025-05-31T07:43:00,8,3373,249,2,72.05,0,PMT00000134,CARD,Online,Completed,144.1,INR
135,2025-06-04T22:12:00,9,4674,119,1,64.64,0,PMT00000135,CARD,POS,Completed,64.64,INR
136,2025-08-08T03:03:00,9,4876,199,1,36.63,0,PMT00000136,UPI,POS,Completed,36.63,INR
137,2025-07-03T23:22:00,10,5058,185,1,16.19,0,PMT00000137,CARD,Online,Completed,16.19,INR
138,2025-08-16T11:05:00,11,3926,148,1,138.3,0,PMT00000138,CARD,Online,Completed,138.3,INR
139,2025-05-11T02:37:00,4,4267,174,1,71.55,15,PMT00000139,CASH,POS,Cancelled,60.82,INR
140,2025-07-21T21:58:00,9,3249,132,1,44.06,0,PMT00000140,UPI,POS,Completed,44.06,INR
141,2025-07-13T11:41:00,1,5285,2,2,12.07,0,PMT00000141,CARD,POS,Completed,24.14,INR
142,2025-05-27T21:54:00,8,5604,231,4,87.07,0,PMT00000142,CARD,POS,Refunded,348.28,INR
143,2025-06-17T13:24:00,3,3159,164,3,14.05,0,PMT00000143,CARD,POS,Completed,42.15,INR
144,2025-08-12T13:15:00,5,2044,88,1,34.76,0,PMT00000144,CARD,POS,Completed,34.76,INR
145,2025-07-20T07:31:00,12,4689,248,1,26.53,0,PMT00000145,UPI,Online,Completed,26.53,INR
146,2025-04-14T02:45:00,7,3908,135,1,82.68,0,PMT00000146,CARD,POS,Completed,82.68,INR
147,2025-04-18T19:33:00,11,3818,120,1,49.19,0,PMT00000147,UPI,Online,Completed,49.19,INR
148,2025-05-10T16:04:00,7,4784,41,5,100.04,0,PMT00000148,WALLET,POS,Completed,500.2,INR
149,2025-07-10T21:53:00,6,5588,197,1,62.66,0,PMT00000149,CARD,Online,Completed,62.66,INR
150,2025-05-14T07:22:00,6,5689,172,1,28.15,0,PMT00000150,WALLET,Online,Completed,28.15,INR
151,2025-06-27T18:12:00,8,614,75,2,65.89,10,PMT00000151,CARD,POS,Completed,118.6,INR
152,2025-04-28T02:06:00,1,336,106,1,22.26,10,PMT00000152,CARD,POS,Completed,20.03,INR
153,2025-06-11T07:02:00,2,1312,28,1,38.13,10,PMT00000153,CARD,Online,Completed,34.32,INR
154,2025-05-30T03:37:00,1,3585,189,1,53.07,0,PMT00000154,CARD,POS,Completed,53.07,INR
155,2025-05-24T21:25:00,5,3435,143,1,92.0,15,PMT00000155,CARD,POS,Completed,78.2,INR
156,2025-06-14T06:05:00,4,5782,86,1,25.31,0,PMT00000156,CARD,POS,Completed,25.31,INR
157,2025-06-14T15:03:00,4,4724,186,1,60.26,20,PMT00000157,CARD,POS,Pending,48.21,INR
158,2025-07-30T06:35:00,3,3475,228,1,64.99,5,PMT00000158,UPI,POS,Completed,61.74,INR
159,2025-06-23T08:38:00,10,305,111,1,84.53,10,PMT00000159,UPI,POS,Completed,76.08,INR
160,2025-05-09T00:11:00,5,2535,157,1,17.28,5,PMT00000160,CARD,POS,Completed,16.42,INR
161,2025-08-16T10:14:00,11,1895,151,1,49.68,10,PMT00000161,CASH,Online,Completed,44.71,INR
162,2025-06-01T09:08:00,4,204,123,1,52.93,0,PMT00000162,UPI,Online,Completed,52.93,INR
163,2025-08-15T06:40:00,5,1490,117,2,108.34,10,PMT00000163,CARD,POS,Completed,195.02,INR
164,2025-04-27T10:47:00,1,3279,50,1,43.49,0,PMT00000164,CARD,Online,Completed,43.49,INR
165,2025-07-10T17:52:00,1,2385,67,1,25.45,0,PMT00000165,CARD,Online,Completed,25.45,INR
166,2025-08-05T02:03:00,1,5299,110,1,86.17,10,PMT00000166,UPI,Online,Completed,77.55,INR
167,2025-07-10T03:28:00,8,5693,65,2,53.76,15,PMT00000167,CARD,POS,Completed,91.4,INR
168,2025-06-23T09:40:00,1,3556,23,1,66.03,0,PMT00000168,UPI,Online,Completed,66.03,INR
169,2025-04-25T19:38:00,9,1202,229,1,45.0,0,PMT00000169,CARD,POS,Cancelled,45.0,INR
170,2025-07-27T12:07:00,9,3476,9,1,84.96,0,PMT00000170,CASH,Online,Completed,84.96,INR
171,2025-06-25T21:58:00,10,3013,163,1,95.91,0,PMT00000171,CARD,POS,Completed,95.91,INR
172,2025-05-14T08:48:00,6,5508,176,1,26.16,0,PMT00000172,CASH,POS,Completed,26.16,INR
173,2025-06-20T02:21:00,1,5755,31,2,33.53,15,PMT00000173,WALLET,POS,Completed,57.0,INR
174,2025-04-19T20:01:00,12,450,121,1,26.76,10,PMT00000174,CASH,POS,Completed,24.08,INR
175,2025-07-27T23:39:00,5,3378,22,1,111.02,15,PMT00000175,UPI,Online,Completed,94.37,INR
176,2025-06-30T08:38:00,9,2967,8,2,44.36,0,PMT00000176,CARD,POS,Completed,88.72,INR
177,2025-08-03T06:39:00,10,1439,9,4,84.96,0,PMT00000177,CARD,POS,Completed,339.84,INR
178,2025-08-01T18:40:00,12,5358,170,1,78.33,5,PMT00000178,UPI,POS,Completed,74.41,INR
179,2025-08-17T08:51:00,3,2839,39,2,47.29,0,PMT00000179,CARD,Online,Completed,94.58,INR
180,2025-08-09T20:28:00,4,3612,75,2,65.89,15,PMT00000180,CASH,POS,Completed,112.02,INR
181,2025-05-12T19:52:00,8,3472,204,1,54.92,0,PMT00000181,CARD,POS,Completed,54.92,INR
182,2025-04-01T20:57:00,9,2624,88,1,34.76,0,PMT00000182,CARD,POS,Completed,34.76,INR
183,2025-07-02T16:27:00,2,2254,70,1,50.99,10,PMT00000183,CARD,POS,Completed,45.89,INR
184,2025-06-20T20:46:00,5,2176,85,1,55.46,0,PMT00000184,UPI,Online,Pending,55.46,INR
185,2025-04-20T21:27:00,2,955,24,2,120.99,10,PMT00000185,CARD,POS,Completed,217.78,INR
186,2025-07-03T03:33:00,10,4538,172,1,28.15,0,PMT00000186,CARD,Online,Completed,28.15,INR
187,2025-07-29T23:33:00,8,5925,178,3,60.63,0,PMT00000187,CARD,POS,Completed,181.89,INR
188,2025-04-29T04:36:00,6,5048,248,2,26.53,0,PMT00000188,CARD,Online,Completed,53.06,INR
189,2025-06-28T03:48:00,9,836,184,1,64.16,5,PMT00000189,UPI,Online,Completed,60.95,INR
190,2025-06-10T09:03:00,1,2415,45,1,56.65,0,PMT00000190,UPI,POS,Completed,56.65,INR
191,2025-05-18T17:47:00,7,644,118,1,54.02,0,PMT00000191,UPI,POS,Pending,54.02,INR
192,2025-06-17T21:20:00,10,4125,133,1,53.18,10,PMT00000192,CASH,POS,Completed,47.86,INR
193,2025-08-17T01:54:00,5,568,61,1,91.39,10,PMT00000193,CARD,POS,Completed,82.25,INR
194,2025-04-01T14:14:00,12,2690,247,1,51.58,0,PMT00000194,CARD,POS,Completed,51.58,INR
195,2025-07-19T17:43:00,1,909,40,1,63.8,0,PMT00000195,CARD,POS,Completed,63.8,INR
196,2025-04-13T17:25:00,6,3356,142,1,49.79,10,PMT00000196,UPI,POS,Completed,44.81,INR
197,2025-06-01T00:53:00,10,2068,133,1,53.18,0,PMT00000197,CARD,Online,Completed,53.18,INR
198,2025-05-09T19:23:00,8,5532,46,1,38.52,0,PMT00000198,CASH,POS,Completed,38.52,INR
199,2025-06-04T02:32:00,7,1541,221,2,61.4,0,PMT00000199,CARD,POS,Completed,122.8,INR
200,2025-07-08T05:29:00,1,3237,107,1,63.05,10,PMT00000200,CARD,POS,Completed,56.74,INR
201,2025-05-24T23:13:00,2,4284,239,1,124.12,0,PMT00000201,UPI,POS,Pending,124.12,INR
202,2025-06-09T09:36:00,7,4785,11,1,81.27,0,PMT00000202,CARD,POS,Completed,81.27,INR
203,2025-04-29T10:58:00,12,4364,74,1,58.51,0,PMT00000203,CARD,POS,Completed,58.51,INR
204,2025-06-23T18:57:00,2,1373,54,3,83.16,0,PMT00000204,UPI,POS,Completed,249.48,INR
205,2025-08-15T08:18:00,8,4466,100,1,22.08,0,PMT00000205,CARD,POS,Completed,22.08,INR
206,2025-05-15T06:33:00,3,52,130,1,34.45,0,PMT00000206,CARD,Online,Completed,34.45,INR
207,2025-05-12T10:12:00,4,2179,164,1,14.05,0,PMT00000207,CASH,POS,Completed,14.05,INR
208,2025-07-28T09:31:00,3,3711,128,1,38.43,0,PMT00000208,CARD,POS,Completed,38.43,INR
209,2025-06-24T03:44:00,4,5211,172,1,28.15,0,PMT00000209,WALLET,Online,Completed,28.15,INR
210,2025-08-17T22:55:00,12,1249,85,4,55.46,0,PMT00000210,CARD,POS,Completed,221.84,INR
211,2025-06-23T09:42:00,11,317,76,1,73.83,0,PMT00000211,CARD,POS,Completed,73.83,INR
212,2025-06-12T18:27:00,11,3771,60,1,77.78,0,PMT00000212,CASH,POS,Completed,77.78,INR
213,2025-05-19T03:51:00,12,5498,111,7,84.53,0,PMT00000213,CARD,POS,Refunded,591.71,INR
214,2025-07-07T07:57:00,8,5649,113,1,52.65,0,PMT00000214,CARD,Online,Completed,52.65,INR
215,2025-05-21T19:10:00,3,3455,71,1,40.04,0,PMT00000215,CARD,POS,Completed,40.04,INR
216,2025-05-15T14:09:00,10,4192,8,5,44.36,5,PMT00000216,CARD,POS,Completed,210.7,INR
217,2025-07-23T16:43:00,1,2626,229,1,45.0,20,PMT00000217,CARD,POS,Completed,36.0,INR
218,2025-05-06T23:52:00,6,3308,118,1,54.02,0,PMT00000218,UPI,POS,Completed,54.02,INR
219,2025-07-30T03:48:00,10,3016,119,1,64.64,0,PMT00000219,UPI,POS,Completed,64.64,INR
220,2025-06-02T08:51:00,6,5313,62,1,67.98,10,PMT00000220,CARD,Online,Returned,61.18,INR
221,2025-04-14T12:39:00,9,1838,160,1,55.57,20,PMT00000221,WALLET,POS,Completed,44.46,INR
222,2025-07-31T17:44:00,9,5286,250,1,53.36,5,PMT00000222,CARD,POS,Completed,50.69,INR
223,2025-06-08T03:10:00,8,2420,182,1,111.59,5,PMT00000223,WALLET,Online,Completed,106.01,INR
224,2025-06-24T07:52:00,4,211,132,1,44.06,0,PMT00000224,CASH,POS,Pending,44.06,INR
225,2025-05-01T16:19:00,12,2331,225,1,39.69,0,PMT00000225,CARD,Online,Completed,39.69,INR
226,2025-07-14T20:02:00,5,740,46,1,38.52,10,PMT00000226,CARD,POS,Completed,34.67,INR
227,2025-04-12T03:05:00,12,221,73,3,29.36,20,PMT00000227,UPI,POS,Completed,70.47,INR
228,2025-04-16T17:14:00,9,4869,23,1,66.03,0,PMT00000228,CARD,POS,Completed,66.03,INR
229,2025-04-13T11:58:00,4,1756,154,2,54.88,0,PMT00000229,CARD,Online,Completed,109.76,INR
230,2025-04-22T02:42:00,2,1235,7,1,36.02,0,PMT00000230,UPI,POS,Pending,36.02,INR
231,2025-07-12T00:47:00,1,1334,159,2,101.86,0,PMT00000231,CASH,POS,Completed,203.72,INR
232,2025-05-05T06:30:00,2,4689,28,1,38.13,5,PMT00000232,CARD,Online,Completed,36.22,INR
233,2025-05-08T15:56:00,2,3624,246,1,128.52,10,PMT00000233,UPI,Online,Refunded,115.67,INR
234,2025-04-13T14:21:00,8,697,3,1,28.83,0,PMT00000234,WALLET,POS,Completed,28.83,INR
235,2025-04-06T11:49:00,2,1960,185,1,16.19,5,PMT00000235,CASH,Online,Completed,15.38,INR
236,2025-04-14T22:43:00,5,4254,122,1,22.69,0,PMT00000236,UPI,POS,Completed,22.69,INR
237,2025-05-12T03:49:00,2,3092,194,3,73.91,5,PMT00000237,CARD,POS,Completed,210.63,INR
238,2025-08-01T07:18:00,12,450,81,1,31.87,0,PMT00000238,UPI,POS,Completed,31.87,INR
239,2025-05-08T11:02:00,1,3478,103,1,60.1,0,PMT00000239,CARD,POS,Completed,60.1,INR
240,2025-05-15T16:53:00,12,1122,197,1,62.66,0,PMT00000240,CARD,POS,Completed,62.66,INR
241,2025-04-12T23:03:00,5,5374,13,1,18.15,0,PMT00000241,CARD,Online,Completed,18.15,INR
242,2025-05-24T08:48:00,5,5701,139,1,92.33,5,PMT00000242,CARD,POS,Completed,87.71,INR
243,2025-04-26T21:01:00,9,2663,234,2,118.63,0,PMT00000243,CARD,POS,Completed,237.26,INR
244,2025-04-21T19:30:00,10,3448,201,1,15.28,5,PMT00000244,WALLET,Online,Completed,14.52,INR
245,2025-08-08T07:56:00,8,1602,102,1,18.84,0,PMT00000245,CARD,POS,Completed,18.84,INR
246,2025-07-04T11:01:00,5,3386,108,1,35.47,5,PMT00000246,CASH,POS,Completed,33.7,INR
247,2025-06-12T21:02:00,4,866,118,2,54.02,0,PMT00000247,WALLET,POS,Cancelled,108.04,INR
248,2025-08-15T09:43:00,5,2074,205,1,51.2,0,PMT00000248,UPI,Online,Returned,51.2,INR
249,2025-04-22T12:41:00,2,2515,99,1,45.5,0,PMT00000249,UPI,POS,Completed,45.5,INR
250,2025-06-01T20:32:00,12,5166,70,1,50.99,0,PMT00000250,WALLET,POS,Cancelled,50.99,INR
251,2025-05-13T03:19:00,8,3704,23,1,66.03,0,PMT00000251,WALLET,POS,Completed,66.03,INR
