PaymentID,OrderID,Amount,Currency,Method,Gateway,Status,AuthCode,FraudScore
PMT00000093,93,67.68,INR,CARD,Cashdesk,Captured,D53QE5EE,0.148
PMT00000094,94,104.37,INR,UPI,Cashdesk,Captured,W7NJKHVY,0.303
PMT00000095,95,93.78,INR,CARD,Stripe,Captured,9XMA5VIX,0.264
PMT00000096,96,114.5,INR,CARD,PayU,Captured,O8UFLV4B,0.153
PMT00000097,97,44.16,INR,UPI,Stripe,Captured,AY22D1B3,0.142
PMT00000098,98,64.9,INR,CARD,Razorpay,Captured,QU280WC8,0.136
PMT00000099,99,135.9,INR,UPI,Cashdesk,Captured,SXG4XNUB,0.095
PMT00000100,100,31.31,INR,WALLET,PayU,Captured,OEYHCXTR,0.38
PMT00000101,101,154.62,INR,UPI,Cashdesk,Captured,4780CE91,0.055
PMT00000102,102,158.76,INR,UPI,Razorpay,Captured,O1S93ENW,0.053
PMT00000103,103,96.23,INR,UPI,PayU,Captured,GJEWVPG6,0.028
PMT00000104,104,22.26,INR,CARD,PayU,Pending,PAIIUCUI,0.249
PMT00000105,105,65.81,INR,CARD,Razorpay,Captured,F5226G5I,0.031
PMT00000106,106,102.97,INR,UPI,Razorpay,Captured,L47L6OJK,0.1
PMT00000107,107,22.75,INR,CARD,Cashdesk,Captured,W10PE8EL,0.201
PMT00000108,108,86.17,INR,WALLET,Cashdesk,Pending,VSLRDMZV,0.063
PMT00000109,109,49.12,INR,UPI,Razorpay,Captured,N52T7B7U,0.09
PMT00000110,110,212.25,INR,UPI,Cashdesk,Captured,88QEG0O0,0.248
PMT00000111,111,134.36,INR,CASH,PayU,Captured,C2GLXV8Q,0.024
PMT00000112,112,72.05,INR,CARD,Razorpay,Captured,UVMRU1C8,0.08
PMT00000113,113,97.87,INR,CARD,Cashdesk,Captured,DCY98QHS,0.036
PMT00000114,114,128.52,INR,CARD,Stripe,Captured,5DF8K4HB,0.105
PMT00000115,115,134.27,INR,CASH,Cashdesk,Captured,I0SF8W9U,0.121
PMT00000116,116,49.0,INR,CARD,Cashdesk,Captured,52BQZSCW,0.115
PMT00000117,117,68.0,INR,WALLET,Cashdesk,Captured,KMGQAW4T,0.119
PMT00000118,118,53.76,INR,UPI,Cashdesk,Captured,CYFWP5WL,0.029
PMT00000119,119,22.71,INR,UPI,Stripe,Captured,LYA85BEK,0.071
PMT00000120,120,50.82,INR,CARD,Razorpay,Captured,5HBHAQEL,0.134
PMT00000121,121,34.31,INR,CARD,Cashdesk,Captured,ZGJF3J9L,0.127
PMT00000122,122,76.65,INR,UPI,Razorpay,Pending,F8BV5ZHP,0.041
PMT00000123,123,134.56,INR,UPI,Razorpay,Captured,0KI4JKJ7,0.139
PMT00000124,124,115.61,INR,UPI,PayU,Captured,QBTK0TD0,0.227
PMT00000125,125,71.98,INR,CARD,Stripe,Captured,83GAEDML,0.022
PMT00000126,126,154.74,INR,CARD,PayU,Captured,W9O01E4Z,0.068
PMT00000127,127,29.24,INR,CARD,PayU,Captured,E2TBST9X,0.27
PMT00000128,128,59.66,INR,CARD,Stripe,Captured,084L9GM5,0.067
PMT00000129,129,56.17,INR,WALLET,Cashdesk,Captured,D613LY4Q,0.116
PMT00000130,130,55.64,INR,UPI,Razorpay,Pending,BCQTAIJ8,0.04
PMT00000131,131,17.57,INR,CARD,Stripe,Captured,Q4P24L6G,0.16
PMT00000132,132,55.46,INR,UPI,Razorpay,Captured,1XN5B0MO,0.094
PMT00000133,133,52.14,INR,CARD,Razorpay,Captured,4DGQVTAK,0.026
PMT00000134,134,144.1,INR,CARD,Razorpay,Captured,5L5D9AU6,0.195
PMT00000135,135,64.64,INR,CARD,Razorpay,Captured,B15X8G1H,0.048
PMT00000136,136,36.63,INR,UPI,Razorpay,Captured,ASJP0ESU,0.11
PMT00000137,137,16.19,INR,CARD,Cashdesk,Captured,Y7K6000U,0.052
PMT00000138,138,138.3,INR,CARD,Razorpay,Captured,4ED6LOB2,0.213
PMT00000139,139,60.82,INR,CASH,PayU,Pending,TSM3S08U,0.059
PMT00000140,140,44.06,INR,UPI,PayU,Captured,T118QZB6,0.029
PMT00000141,141,24.14,INR,CARD,PayU,Captured,RKUW2032,0.1
PMT00000142,142,348.28,INR,CARD,Cashdesk,Captured,J2J4BO6G,0.074
PMT00000143,143,42.15,INR,CARD,Razorpay,Captured,MXKQMUYB,0.116
PMT00000144,144,34.76,INR,CARD,Razorpay,Captured,7HWLWZUB,0.254
PMT00000145,145,26.53,INR,UPI,PayU,Captured,SLSIYLX2,0.099
PMT00000146,146,82.68,INR,CARD,Cashdesk,Captured,39YR8H9X,0.072
PMT00000147,147,49.19,INR,UPI,Cashdesk,Captured,D7WGXXAS,0.108
PMT00000148,148,500.2,INR,WALLET,PayU,Captured,HZLA6OVM,0.038
PMT00000149,149,62.66,INR,CARD,PayU,Captured,GD9E32LF,0.217
PMT00000150,150,28.15,INR,WALLET,Stripe,Captured,3KQJYG8I,0.09
PMT00000151,151,118.6,INR,CARD,Razorpay,Captured,W5VZLMQ9,0.213
PMT00000152,152,20.03,INR,CARD,Cashdesk,Captured,JH9J7MJQ,0.195
PMT00000153,153,34.32,INR,CARD,Razorpay,Captured,IXDWR024,0.171
PMT00000154,154,53.07,INR,CARD,PayU,Captured,6GF9XXWN,0.206
PMT00000155,155,78.2,INR,CARD,Stripe,Captured,IAJN3MLE,0.125
PMT00000156,156,25.31,INR,CARD,Razorpay,Captured,RRT2L2IE,0.049
PMT00000157,157,48.21,INR,CARD,Cashdesk,Pending,J3BSY3ON,0.09
PMT00000158,158,61.74,INR,UPI,Cashdesk,Captured,A8GCP8YO,0.063
PMT00000159,159,76.08,INR,UPI,Stripe,Captured,6AZ8YGCV,0.012
PMT00000160,160,16.42,INR,CARD,Razorpay,Captured,PRFEGCXY,0.211
PMT00000161,161,44.71,INR,CASH,PayU,Captured,4CVUNXFA,0.103
PMT00000162,162,52.93,INR,UPI,Cashdesk,Captured,GP56EFIQ,0.018
PMT00000163,163,195.02,INR,CARD,Cashdesk,Captured,LWL0TQFT,0.021
PMT00000164,164,43.49,INR,CARD,Razorpay,Captured,YSY089G9,0.087
PMT00000165,165,25.45,INR,CARD,Stripe,Captured,PSL0JO4P,0.122
PMT00000166,166,77.55,INR,UPI,Cashdesk,Captured,8PZJ3MNH,0.058
PMT00000167,167,91.4,INR,CARD,Cashdesk,Captured,TTAAZVOR,0.115
PMT00000168,168,66.03,INR,UPI,PayU,Captured,WSQ7TFS2,0.17
PMT00000169,169,45.0,INR,CARD,PayU,Pending,ZZ1JPAHR,0.119
PMT00000170,170,84.96,INR,CASH,Razorpay,Captured,0OS2C4XN,0.141
PMT00000171,171,95.91,INR,CARD,Cashdesk,Captured,QS6519EY,0.065
PMT00000172,172,26.16,INR,CASH,Cashdesk,Captured,42DV9UJA,0.232
PMT00000173,173,57.0,INR,WALLET,Cashdesk,Captured,Y2YR6NBQ,0.404
PMT00000174,174,24.08,INR,CASH,Razorpay,Captured,CIPTNPNZ,0.104
PMT00000175,175,94.37,INR,UPI,Razorpay,Captured,LCB37BQ3,0.083
PMT00000176,176,88.72,INR,CARD,Razorpay,Captured,ABMKRY7I,0.023
PMT00000177,177,339.84,INR,CARD,Stripe,Captured,9G6Q62RX,0.045
PMT00000178,178,74.41,INR,UPI,Stripe,Captured,MIVL590J,0.135
PMT00000179,179,94.58,INR,CARD,PayU,Captured,YW0YFKOE,0.094
PMT00000180,180,112.02,INR,CASH,PayU,Captured,2YN69I79,0.044
PMT00000181,181,54.92,INR,CARD,Razorpay,Captured,01YQT061,0.048
PMT00000182,182,34.76,INR,CARD,Stripe,Captured,D2KX2SWO,0.106
PMT00000183,183,45.89,INR,CARD,Razorpay,Captured,BC82SG0Y,0.177
PMT00000184,184,55.46,INR,UPI,Stripe,Pending,WUHJ1L90,0.126
PMT00000185,185,217.78,INR,CARD,PayU,Captured,CZNYCTOP,0.083
PMT00000186,186,28.15,INR,CARD,Stripe,Captured,LIFI3OSH,0.15
PMT00000187,187,181.89,INR,CARD,Cashdesk,Captured,J7T5BFXP,0.273
PMT00000188,188,53.06,INR,CARD,Razorpay,Captured,XEMLTFU5,0.06
PMT00000189,189,60.95,INR,UPI,Cashdesk,Captured,842QYVTQ,0.094
PMT00000190,190,56.65,INR,UPI,PayU,Captured,78RTJR2G,0.093
PMT00000191,191,54.02,INR,UPI,PayU,Pending,MBJ2W6P5,0.13
PMT00000192,192,47.86,INR,CASH,Razorpay,Captured,Q9S7LKS5,0.191
PMT00000193,193,82.25,INR,CARD,Razorpay,Captured,EV9ZUYH9,0.08
PMT00000194,194,51.58,INR,CARD,PayU,Captured,GQXCZHNI,0.091
PMT00000195,195,63.8,INR,CARD,Cashdesk,Captured,4T2RIZYO,0.05
PMT00000196,196,44.81,INR,UPI,PayU,Captured,EE75C7QX,0.145
PMT00000197,197,53.18,INR,CARD,Razorpay,Captured,LINEEWKI,0.046
PMT00000198,198,38.52,INR,CASH,PayU,Captured,6Z6COXKQ,0.039
PMT00000199,199,122.8,INR,CARD,Cashdesk,Captured,3ECTATG6,0.239
PMT00000200,200,56.74,INR,CARD,Razorpay,Captured,ZKWSSNML,0.266
PMT00000201,201,124.12,INR,UPI,Cashdesk,Pending,WTSMCGXZ,0.055
PMT00000202,202,81.27,INR,CARD,PayU,Captured,L8JVZSLT,0.142
PMT00000203,203,58.51,INR,CARD,PayU,Captured,BFIY4GWT,0.356
PMT00000204,204,249.48,INR,UPI,Cashdesk,Captured,7HPNPK27,0.077
PMT00000205,205,22.08,INR,CARD,PayU,Captured,8Z2GFQNB,0.214
PMT00000206,206,34.45,INR,CARD,Razorpay,Captured,RU3PC0OX,0.053
PMT00000207,207,14.05,INR,CASH,Cashdesk,Captured,319WNI6G,0.17
PMT00000208,208,38.43,INR,CARD,Cashdesk,Captured,1CLMMVH7,0.172
PMT00000209,209,28.15,INR,WALLET,Cashdesk,Captured,GM7Q6LFJ,0.103
PMT00000210,210,221.84,INR,CARD,Stripe,Captured,KOV2Y926,0.034
PMT00000211,211,73.83,INR,CARD,PayU,Captured,O8T8MVW5,0.083
PMT00000212,212,77.78,INR,CASH,PayU,Captured,49MVK8S7,0.038
PMT00000213,213,591.71,INR,CARD,Razorpay,Captured,IGG48FTL,0.067
PMT00000214,214,52.65,INR,CARD,Stripe,Captured,XPFYJL4Y,0.194
PMT00000215,215,40.04,INR,CARD,Stripe,Captured,OWVHD7B4,0.034
PMT00000216,216,210.7,INR,CARD,Razorpay,Captured,I8R5NTIP,0.074
PMT00000217,217,36.0,INR,CARD,Cashdesk,Captured,1CTAE3HK,0.023
PMT00000218,218,54.02,INR,UPI,PayU,Captured,WQF1CLNV,0.048
PMT00000219,219,64.64,INR,UPI,Stripe,Captured,U6MRUWNN,0.161
PMT00000220,220,61.18,INR,CARD,Razorpay,Captured,NUWPKN64,0.134
PMT00000221,221,44.46,INR,WALLET,PayU,Captured,FL0XN3CQ,0.104
PMT00000222,222,50.69,INR,CARD,Cashdesk,Captured,1CXDCWGK,0.136
PMT00000223,223,106.01,INR,WALLET,PayU,Captured,F2B3EW15,0.219
PMT00000224,224,44.06,INR,CASH,Stripe,Pending,TKC3N4G7,0.282
PMT00000225,225,39.69,INR,CARD,Razorpay,Captured,AZU9PK42,0.049
PMT00000226,226,34.67,INR,CARD,PayU,Captured,DTBZXMUU,0.095
PMT00000227,227,70.47,INR,UPI,PayU,Captured,R6D2X6LO,0.088
PMT00000228,228,66.03,INR,CARD,Razorpay,Captured,2HK89JSN,0.088
PMT00000229,229,109.76,INR,CARD,Razorpay,Captured,WY6POGI3,0.025
PMT00000230,230,36.02,INR,UPI,Razorpay,Pending,W5ZS9BK4,0.137
PMT00000231,231,203.72,INR,CASH,Cashdesk,Captured,VUXZUYKM,0.165
PMT00000232,232,36.22,INR,CARD,Razorpay,Captured,5BFYGOU3,0.176
PMT00000233,233,115.67,INR,UPI,PayU,Captured,15WR99ZZ,0.052
PMT00000234,234,28.83,INR,WALLET,PayU,Captured,HTUW52RB,0.279
PMT00000235,235,15.38,INR,CASH,Stripe,Captured,F19J2VP8,0.051
PMT00000236,236,22.69,INR,UPI,Cashdesk,Captured,M3RMZM4Q,0.038
PMT00000237,237,210.63,INR,CARD,Razorpay,Captured,EAHRX0D9,0.036
PMT00000238,238,31.87,INR,UPI,Cashdesk,Captured,YP4BG4W4,0.016
PMT00000239,239,60.1,INR,CARD,Razorpay,Captured,AMVOV4OY,0.085
PMT00000240,240,62.66,INR,CARD,PayU,Captured,YCR0L32U,0.143
PMT00000241,241,18.15,INR,CARD,Razorpay,Captured,HGK42O62,0.087
PMT00000242,242,87.71,INR,CARD,Cashdesk,Captured,TWXIM04R,0.108
PMT00000243,243,237.26,INR,CARD,PayU,Captured,YYTMJL5H,0.073
PMT00000244,244,14.52,INR,WALLET,Stripe,Captured,HL52IRUH,0.16
PMT00000245,245,18.84,INR,CARD,Stripe,Captured,4G8TBZOP,0.159
PMT00000246,246,33.7,INR,CASH,Razorpay,Captured,JPRZDI1E,0.18
PMT00000247,247,108.04,INR,WALLET,Stripe,Pending,6URBJSAD,0.02
PMT00000248,248,51.2,INR,UPI,PayU,Captured,PTZZZ6CT,0.065
PMT00000249,249,45.5,INR,UPI,Razorpay,Captured,45CSF0AL,0.257
PMT00000250,250,50.99,INR,WALLET,PayU,Pending,MJ0SISJ4,0.071
PMT00000251,251,66.03,INR,WALLET,Stripe,Captured,3H5YWL94,0.218
PMT00000252,252,73.12,INR,CARD,Cashdesk,Captured,A94D8XER,0.157
PMT00000253,253,65.72,INR,CARD,Stripe,Captured,QJED48Q5,0.059
PMT00000254,254,70.0,INR,CARD,Razorpay,Captured,X57LYQ9V,0.181
PMT00000255,255,43.36,INR,CARD,Stripe,Captured,O7MTCOYJ,0.26
PMT00000256,256,40.04,INR,UPI,PayU,Captured,WUG0RQAP,0.041
PMT00000257,257,63.3,INR,UPI,PayU,Captured,MZKG8JWN,0.278
PMT00000258,258,60.89,INR,CARD,Cashdesk,Captured,91RZ84EM,0.061
PMT00000259,259,89.16,INR,CARD,Stripe,Captured,765ZC9HL,0.206
PMT00000260,260,68.41,INR,CARD,Cashdesk,Captured,VIY3ZT3P,0.155
PMT00000261,261,30.66,INR,CARD,Cashdesk,Captured,YYBDAU8E,0.044
PMT00000262,262,95.91,INR,CARD,Cashdesk,Captured,Q80I4527,0.115
PMT00000263,263,120.99,INR,UPI,PayU,Captured,4GZW6IZ1,0.095
PMT00000264,264,55.75,INR,CARD,Razorpay,Captured,Y3Z4XUTX,0.094
PMT00000265,265,70.56,INR,CARD,Stripe,Captured,JQZDCSE0,0.131
PMT00000266,266,128.52,INR,CARD,Razorpay,Captured,62J77RUE,0.072
PMT00000267,267,71.98,INR,UPI,PayU,Captured,JNX894I1,0.011
PMT00000268,268,56.65,INR,CARD,Razorpay,Captured,K7H01STX,0.073
PMT00000269,269,203.94,INR,UPI,Cashdesk,Captured,ZRKY8RAQ,0.064
PMT00000270,270,52.47,INR,CARD,Cashdesk,Captured,G7F10TB8,0.212
PMT00000271,271,58.14,INR,CASH,PayU,Captured,VWXOATMZ,0.098
PMT00000272,272,101.29,INR,CARD,Stripe,Captured,9QOO3T91,0.271
PMT00000273,273,49.91,INR,UPI,PayU,Captured,R304ABIS,0.265
PMT00000274,274,132.18,INR,CARD,Cashdesk,Captured,PZ117IB2,0.36
PMT00000275,275,20.79,INR,CARD,Stripe,Captured,6ISVYYRK,0.069
PMT00000276,276,36.59,INR,CASH,Stripe,Captured,M42YJMLE,0.041
PMT00000277,277,135.94,INR,CARD,Stripe,Captured,1SSQVRUA,0.152
PMT00000278,278,72.12,INR,WALLET,Razorpay,Captured,1CPGW9CE,0.123
PMT00000279,279,15.49,INR,UPI,PayU,Captured,M8NPIWZB,0.157
PMT00000280,280,23.97,INR,CARD,Cashdesk,Captured,MPMXJORE,0.062
PMT00000281,281,108.43,INR,WALLET,Stripe,Captured,WVAZM4H0,0.043
PMT00000282,282,82.64,INR,CARD,PayU,Pending,PHJF7ZF8,0.048
PMT00000283,283,67.65,INR,UPI,Stripe,Captured,33RGMUDI,0.177
PMT00000284,284,35.94,INR,CARD,Cashdesk,Captured,Z5AYLXJ6,0.242
PMT00000285,285,27.39,INR,CASH,Cashdesk,Captured,G5HEW5ST,0.053
PMT00000286,286,62.66,INR,CARD,Cashdesk,Captured,EX6WAQPV,0.07
PMT00000287,287,94.66,INR,UPI,Stripe,Captured,YE8UNA9W,0.072
PMT00000288,288,78.21,INR,CASH,Stripe,Captured,0YDRZ2QY,0.01
PMT00000289,289,67.18,INR,CARD,Stripe,Captured,F3H88PTW,0.062
PMT00000290,290,82.68,INR,UPI,Stripe,Captured,H2BVWV6Y,0.385
PMT00000291,291,58.84,INR,CARD,PayU,Captured,NIDS13PM,0.058
PMT00000292,292,26.16,INR,CARD,PayU,Captured,EAP50SW1,0.083
PMT00000293,293,29.92,INR,CARD,PayU,Pending,RQ53UTIU,0.206
PMT00000294,294,59.43,INR,CARD,Cashdesk,Captured,ASGFQGDM,0.036
PMT00000295,295,13.78,INR,WALLET,Cashdesk,Captured,KU9IVW7K,0.157
PMT00000296,296,59.66,INR,CARD,Stripe,Captured,0OPXNCCR,0.09
PMT00000297,297,100.08,INR,UPI,Stripe,Captured,AF3QHYH0,0.149
PMT00000298,298,21.07,INR,UPI,Cashdesk,Captured,HZG8H7QU,0.017
PMT00000299,299,66.22,INR,UPI,Cashdesk,Pending,2UBATPZ0,0.256
PMT00000300,300,48.02,INR,UPI,Razorpay,Captured,FL7Q15WH,0.172
PMT00000301,301,106.89,INR,UPI,Razorpay,Captured,7D922WAH,0.236
PMT00000302,302,179.73,INR,CARD,PayU,Captured,ZXWUAMRI,0.24
PMT00000303,303,46.42,INR,CARD,Stripe,Captured,K62Y8T15,0.168
PMT00000304,304,41.43,INR,CASH,Cashdesk,Captured,UXOM9TP2,0.173
PMT00000305,305,51.53,INR,CARD,Razorpay,Captured,T1S9J3MV,0.255
PMT00000306,306,101.86,INR,CARD,Stripe,Captured,BFLFB4X3,0.26
PMT00000307,307,61.44,INR,UPI,Stripe,Captured,XJI1IJOL,0.178
PMT00000308,308,22.24,INR,CARD,Cashdesk,Captured,BIQATH5P,0.152
PMT00000309,309,123.26,INR,CASH,Cashdesk,Captured,VCRJJP6E,0.107
PMT00000310,310,84.51,INR,CASH,Cashdesk,Captured,EM9IUYZ9,0.148
PMT00000311,311,17.71,INR,CASH,PayU,Captured,ZW6B2KLV,0.045
PMT00000312,312,43.73,INR,WALLET,PayU,Captured,OZODIL01,0.111
PMT00000313,313,54.84,INR,CARD,Cashdesk,Captured,R2A95C43,0.053
PMT00000314,314,120.99,INR,CASH,Razorpay,Captured,UN63VV1E,0.173
PMT00000315,315,94.66,INR,CARD,Razorpay,Captured,MED33I7O,0.103
PMT00000316,316,76.08,INR,CARD,PayU,Captured,RRTXVF4Z,0.055
PMT00000317,317,43.1,INR,UPI,Razorpay,Captured,7NR6DPFV,0.114
PMT00000318,318,29.8,INR,CARD,PayU,Captured,UFEU71JX,0.071
PMT00000319,319,55.17,INR,CASH,Razorpay,Captured,QNUNZJAO,0.052
PMT00000320,320,88.79,INR,CARD,Stripe,Captured,9EBICN9N,0.129
PMT00000321,321,43.51,INR,CARD,Stripe,Captured,GEP3CCE0,0.145
PMT00000322,322,82.0,INR,WALLET,Cashdesk,Captured,Y47HGM5S,0.18
PMT00000323,323,341.48,INR,UPI,Stripe,Captured,PFEKXVTY,0.071
PMT00000324,324,293.46,INR,CARD,Stripe,Captured,UND14BKB,0.106
PMT00000325,325,12.01,INR,CASH,Cashdesk,Captured,42AE2176,0.139
PMT00000326,326,42.62,INR,CASH,Razorpay,Captured,OBTCW6J2,0.139
PMT00000327,327,108.93,INR,CARD,PayU,Captured,JUM3AY4L,0.364
PMT00000328,328,35.94,INR,UPI,Stripe,Captured,8JOVHWT3,0.185
